EBITDA_TO_Interest_Expense,Retained_Earnings_TO_Debt,EBIT_TO_Interest Expense,Debt_TO_EBITDA,Debt_TO_Capital,Asset_TO_Size,log10_Asset Size,EBITDA_Margin,Default_Flag
7.830639494,2.216355349,-55.51482783,3.622543301,0.413377683,762090000,8.882006263,0.594299673,0
9.645229983,0.809248246,-38.53556218,3.099858701,0.996776919,634240000,8.802253628,0.635157022,0
2.208948261,-0.551384904,1.388888889,5.245685104,-4.765120335,285311000,8.455318516,0.545905213,0
1.526495158,0.025659234,,7.706607858,4.95823991,570853000,8.756524288,0.32439522,0
3.698567261,0.032577165,,3.226603728,3.111902818,810118000,8.908548282,0.557004793,0
6.525686873,0.147187135,,1.873484636,1.950808264,777023000,8.890433874,0.940561946,0
0.079073887,-0.013288225,-1.498523954,152.9173333,2.804848224,774225000,8.888867191,0.014921691,0
7.146550969,-0.112518035,5.176176703,1.785122953,3.802693629,669464000,8.825727228,1.02931337,0
4.515961576,-0.128852687,1.178391228,2.545523887,2.287378847,608076000,8.783957863,1.356420494,0
1.58471148,0.449925665,1.58471148,13.47840751,1.009559277,2730015,6.436165033,0.107610828,0
8.148434815,,3.086449248,,,2842649,6.453723238,0.492547869,0
11.7002509,0.958575687,11.7002509,1.559996314,0.602920024,3443171,6.536958592,0.417612509,0
12.85883015,-0.732059095,,0.87278135,0.554033418,363900,5.560982056,0.737516129,0
11.10370946,-0.431231905,,0.872973257,0.586850955,360184,5.556524417,0.722666026,0
14.46898725,,,0,0,312104,5.494299335,0.708614243,0
29.13404959,0.466252174,,0.65244155,0.858804992,376019,5.57520979,0.82293043,0
15.83125306,0.603205128,,1.205815742,0.731240859,665536,5.823171552,0.647804316,0
13.13064642,0.329605505,,1.256201776,0.502076246,2680153,6.428159587,0.789405691,0
12.07802067,0.461483954,5.047544132,1.17986505,0.560021509,3083635,6.489062966,0.754802938,0
1.541100748,-0.024971795,-6.744033476,13.46142783,1.044344473,3392793,6.530557363,0.066831628,0
-1.058616363,-0.291773863,-6.75342915,-16.09333962,1.353239973,2867205,6.457458745,-0.078737694,0
7.394460737,-0.227387348,2.351443596,2.493438024,1.524654733,3166595000,9.500592522,0.63477841,0
-0.757575758,0.506,-8.060606061,-40,1.976284585,1506000,6.177824972,-0.011978917,0
34.36666667,3.1525,,0.387972842,0.317208565,1661000,6.220369632,0.398069498,0
475.3333333,,,0,0,7279000,6.862071719,1.17382357,0
74.88235294,6.908571429,,0.549882168,0.144747725,5536000,6.743196081,0.147662684,0
38.87272727,5.246,26.92727273,0.233863424,0.190621426,9923000,6.996642991,0.24716763,0
123.5096154,1.5572,123.5096154,0.58388478,0.642178269,19179000,7.282825959,0.45076502,0
100.4177215,14.49649123,74.24683544,0.179629396,0.069149581,58801000,7.769384712,0.530919556,0
39.8256,4.29530329,32.7712,0.422562372,0.257100953,77351000,7.888465933,0.563412481,0
